date,gdp
01/01/1959,2976.6
01/04/1959,3049.0
01/07/1959,3043.1
01/10/1959,3055.1
01/01/1960,3123.2
01/04/1960,3111.3
01/07/1960,3119.1
01/10/1960,3081.3
01/01/1961,3102.3
01/04/1961,3159.9
01/07/1961,3212.6
01/10/1961,3277.7
01/01/1962,3336.8
01/04/1962,3372.7
01/07/1962,3404.8
01/10/1962,3418.0
01/01/1963,3456.1
01/04/1963,3501.1
01/07/1963,3569.5
01/10/1963,3595.0
01/01/1964,3672.7
01/04/1964,3716.4
01/07/1964,3766.9
01/10/1964,3780.2
01/01/1965,3873.5
01/04/1965,3926.4
01/07/1965,4006.2
01/10/1965,4100.6
01/01/1966,4201.9
01/04/1966,4219.1
01/07/1966,4249.2
01/10/1966,4285.6
01/01/1967,4324.9
01/04/1967,4328.7
01/07/1967,4366.1
01/10/1967,4401.2
01/01/1968,4490.6
01/04/1968,4566.4
01/07/1968,4599.3
01/10/1968,4619.8
01/01/1969,4691.6
01/04/1969,4706.7
01/07/1969,4736.1
01/10/1969,4715.5
01/01/1970,4707.1
01/04/1970,4715.4
01/07/1970,4757.2
01/10/1970,4708.3
01/01/1971,4834.3
01/04/1971,4861.9
01/07/1971,4900.0
01/10/1971,4914.3
01/01/1972,5002.4
01/04/1972,5118.3
01/07/1972,5165.4
01/10/1972,5251.2
01/01/1973,5380.5
01/04/1973,5441.5
01/07/1973,5411.9
01/10/1973,5462.4
01/01/1974,5417.0
01/04/1974,5431.3
01/07/1974,5378.7
01/10/1974,5357.2
01/01/1975,5292.4
01/04/1975,5333.2
01/07/1975,5421.4
01/10/1975,5494.4
01/01/1976,5618.5
01/04/1976,5661.0
01/07/1976,5689.8
01/10/1976,5732.5
01/01/1977,5799.2
01/04/1977,5913.0
01/07/1977,6017.6
01/10/1977,6018.2
01/01/1978,6039.2
01/04/1978,6274.0
01/07/1978,6335.3
01/10/1978,6420.3
01/01/1979,6433.0
01/04/1979,6440.8
01/07/1979,6487.1
01/10/1979,6503.9
01/01/1980,6524.9
01/04/1980,6392.6
01/07/1980,6382.9
01/10/1980,6501.2
01/01/1981,6635.7
01/04/1981,6587.3
01/07/1981,6662.9
01/10/1981,6585.1
01/01/1982,6475.0
01/04/1982,6510.2
01/07/1982,6486.8
01/10/1982,6493.1
01/01/1983,6578.2
01/04/1983,6728.3
01/07/1983,6860.0
01/10/1983,7001.5
01/01/1984,7140.6
01/04/1984,7266.0
01/07/1984,7337.5
01/10/1984,7396.0
01/01/1985,7469.5
01/04/1985,7537.9
01/07/1985,7655.2
01/10/1985,7712.6
01/01/1986,7784.1
01/04/1986,7819.8
01/07/1986,7898.6
01/10/1986,7939.5
01/01/1987,7995.0
01/04/1987,8084.7
01/07/1987,8158.0
01/10/1987,8292.7
01/01/1988,8339.3
01/04/1988,8449.5
01/07/1988,8498.3
01/10/1988,8610.9
01/01/1989,8697.7
01/04/1989,8766.1
01/07/1989,8831.5
01/10/1989,8850.2
01/01/1990,8947.1
01/04/1990,8981.7
01/07/1990,8983.9
01/10/1990,8907.4
01/01/1991,8865.6
01/04/1991,8934.4
01/07/1991,8977.3
01/10/1991,9016.4
01/01/1992,9123.0
01/04/1992,9223.5
01/07/1992,9313.2
01/10/1992,9406.5
01/01/1993,9424.1
01/04/1993,9480.1
01/07/1993,9526.3
01/10/1993,9653.5
01/01/1994,9748.2
01/04/1994,9881.4
01/07/1994,9939.7
01/10/1994,10052.5
01/01/1995,10086.9
01/04/1995,10122.1
01/07/1995,10208.8
01/10/1995,10281.2
01/01/1996,10348.7
01/04/1996,10529.4
01/07/1996,10626.8
01/10/1996,10739.1
01/01/1997,10820.9
01/04/1997,10984.2
01/07/1997,11124.0
01/10/1997,11210.3
01/01/1998,11321.2
01/04/1998,11431.0
01/07/1998,11580.6
01/10/1998,11770.7
01/01/1999,11864.7
01/04/1999,11962.5
01/07/1999,12113.1
01/10/1999,12323.3
01/01/2000,12359.1
01/04/2000,12592.5
01/07/2000,12607.7
01/10/2000,12679.3
01/01/2001,12643.3
01/04/2001,12710.3
01/07/2001,12670.1
01/10/2001,12705.3
01/01/2002,12822.3
01/04/2002,12893.0
01/07/2002,12955.8
01/10/2002,12964.0
01/01/2003,13031.2
01/04/2003,13152.1
01/07/2003,13372.4
01/10/2003,13528.7
01/01/2004,13606.5
01/04/2004,13706.2
01/07/2004,13830.8
01/10/2004,13950.4
01/01/2005,14099.1
01/04/2005,14172.7
01/07/2005,14291.8
01/10/2005,14373.4
01/01/2006,14546.1
01/04/2006,14589.6
01/07/2006,14602.6
01/10/2006,14716.9
01/01/2007,14726.0
01/04/2007,14838.7
01/07/2007,14938.5
01/10/2007,14991.8
01/01/2008,14889.5
01/04/2008,14963.4
01/07/2008,14891.6
01/10/2008,14577.0
01/01/2009,14375.0
01/04/2009,14355.6
01/07/2009,14402.5
01/10/2009,14541.9
01/01/2010,14604.8
01/04/2010,14745.9
01/07/2010,14845.5
01/10/2010,14939.0
01/01/2011,14881.3
01/04/2011,14989.6
01/07/2011,15021.1
01/10/2011,15190.3
01/01/2012,15291.0
01/04/2012,15362.4
01/07/2012,15380.8
01/10/2012,15384.3
01/01/2013,15491.9
01/04/2013,15521.6
01/07/2013,15641.3
01/10/2013,15793.9
01/01/2014,15747.0
01/04/2014,15900.8
01/07/2014,16094.5
01/10/2014,16186.7
01/01/2015,16269.0
01/04/2015,16374.2
01/07/2015,16454.9
01/10/2015,16490.7
01/01/2016,16525.0
01/04/2016,16583.1
01/07/2016,16727.0
01/10/2016,16813.3
