date,gdp
1/1/64,3672.7
1/4/64,3716.4
1/7/64,3766.9
1/10/64,3780.2
1/1/65,3873.5
1/4/65,3926.4
1/7/65,4006.2
1/10/65,4100.6
1/1/66,4201.9
1/4/66,4219.1
1/7/66,4249.2
1/10/66,4285.6
1/1/67,4324.9
1/4/67,4328.7
1/7/67,4366.1
1/10/67,4401.2
1/1/68,4490.6
1/4/68,4566.4
1/7/68,4599.3
1/10/68,4619.8
1/1/69,4691.6
1/4/69,4706.7
1/7/69,4736.1
1/10/69,4715.5
1/1/70,4707.1
1/4/70,4715.4
1/7/70,4757.2
1/10/70,4708.3
1/1/71,4834.3
1/4/71,4861.9
1/7/71,4900
1/10/71,4914.3
1/1/72,5002.4
1/4/72,5118.3
1/7/72,5165.4
1/10/72,5251.2
1/1/73,5380.5
1/4/73,5441.5
1/7/73,5411.9
1/10/73,5462.4
1/1/74,5417
1/4/74,5431.3
1/7/74,5378.7
1/10/74,5357.2
1/1/75,5292.4
1/4/75,5333.2
1/7/75,5421.4
1/10/75,5494.4
1/1/76,5618.5
1/4/76,5661
1/7/76,5689.8
1/10/76,5732.5
1/1/77,5799.2
1/4/77,5913
1/7/77,6017.6
1/10/77,6018.2
1/1/78,6039.2
1/4/78,6274
1/7/78,6335.3
1/10/78,6420.3
1/1/79,6433
1/4/79,6440.8
1/7/79,6487.1
1/10/79,6503.9
1/1/80,6524.9
1/4/80,6392.6
1/7/80,6382.9
1/10/80,6501.2
1/1/81,6635.7
1/4/81,6587.3
1/7/81,6662.9
1/10/81,6585.1
1/1/82,6475
1/4/82,6510.2
1/7/82,6486.8
1/10/82,6493.1
1/1/83,6578.2
1/4/83,6728.3
1/7/83,6860
1/10/83,7001.5
1/1/84,7140.6
1/4/84,7266
1/7/84,7337.5
1/10/84,7396
1/1/85,7469.5
1/4/85,7537.9
1/7/85,7655.2
1/10/85,7712.6
1/1/86,7784.1
1/4/86,7819.8
1/7/86,7898.6
1/10/86,7939.5
1/1/87,7995
1/4/87,8084.7
1/7/87,8158
1/10/87,8292.7
1/1/88,8339.3
1/4/88,8449.5
1/7/88,8498.3
1/10/88,8610.9
1/1/89,8697.7
1/4/89,8766.1
1/7/89,8831.5
1/10/89,8850.2
1/1/90,8947.1
1/4/90,8981.7
1/7/90,8983.9
1/10/90,8907.4
1/1/91,8865.6
1/4/91,8934.4
1/7/91,8977.3
1/10/91,9016.4
1/1/92,9123
1/4/92,9223.5
1/7/92,9313.2
1/10/92,9406.5
1/1/93,9424.1
1/4/93,9480.1
1/7/93,9526.3
1/10/93,9653.5
1/1/94,9748.2
1/4/94,9881.4
1/7/94,9939.7
1/10/94,10052.5
1/1/95,10086.9
1/4/95,10122.1
1/7/95,10208.8
1/10/95,10281.2
1/1/96,10348.7
1/4/96,10529.4
1/7/96,10626.8
1/10/96,10739.1
1/1/97,10820.9
1/4/97,10984.2
1/7/97,11124
1/10/97,11210.3
1/1/98,11321.2
1/4/98,11431
1/7/98,11580.6
1/10/98,11770.7
1/1/99,11864.7
1/4/99,11962.5
1/7/99,12113.1
1/10/99,12323.3
1/1/00,12359.1
1/4/00,12592.5
1/7/00,12607.7
1/10/00,12679.3
1/1/01,12643.3
1/4/01,12710.3
1/7/01,12670.1
1/10/01,12705.3
1/1/02,12822.3
1/4/02,12893
1/7/02,12955.8
1/10/02,12964
1/1/03,13031.2
1/4/03,13152.1
1/7/03,13372.4
1/10/03,13528.7
1/1/04,13606.5
1/4/04,13706.2
1/7/04,13830.8
1/10/04,13950.4
1/1/05,14099.1
1/4/05,14172.7
1/7/05,14291.8
1/10/05,14373.4
1/1/06,14546.1
1/4/06,14589.6
1/7/06,14602.6
1/10/06,14716.9
1/1/07,14726
1/4/07,14838.7
1/7/07,14938.5
1/10/07,14991.8
1/1/08,14889.5
1/4/08,14963.4
1/7/08,14891.6
1/10/08,14577
1/1/09,14375
1/4/09,14355.6
1/7/09,14402.5
1/10/09,14541.9
1/1/10,14604.8
1/4/10,14745.9
1/7/10,14845.5
1/10/10,14939
1/1/11,14881.3
1/4/11,14989.6
1/7/11,15021.1
1/10/11,15190.3
1/1/12,15291
1/4/12,15362.4
1/7/12,15380.8
1/10/12,15384.3
1/1/13,15491.9
1/4/13,15521.6
1/7/13,15641.3
1/10/13,15793.9
1/1/14,15747
1/4/14,15900.8
1/7/14,16094.5
1/10/14,16186.7
1/1/15,16269
1/4/15,16374.2
1/7/15,16454.9
1/10/15,16490.7
1/1/16,16525
1/4/16,16583.1
1/7/16,16727
1/10/16,16813.3
