'Date';'DAX';'S+ACY-P 500'
'2015+AC0-10+AC0-26';10801.33984;2071.179932
'2015+AC0-10+AC0-23';10794.54004;2075.149902
'2015+AC0-10+AC0-22';10491.96973;2052.51001
'2015+AC0-10+AC0-21';10238.09961;2018.939941
'2015+AC0-10+AC0-20';10147.67969;2030.77002
'2015+AC0-10+AC0-19';10164.30957;2033.660034
'2015+AC0-10+AC0-16';10104.42969;2033.109985
'2015+AC0-10+AC0-15';10064.79981;2023.859985
'2015+AC0-10+AC0-14';9915.849609;1994.23999
'2015+AC0-10+AC0-13';10032.82031;2003.689941
'2015+AC0-10+AC0-12';10119.83008;2017.459961
'2015+AC0-10+AC0-09';10096.59961;2014.890015
'2015+AC0-10+AC0-08';9993.070312;2013.430054
'2015+AC0-10+AC0-07';9970.400391;1995.829956
'2015+AC0-10+AC0-06';9902.830078;1979.920044
'2015+AC0-10+AC0-05';9814.790039;1987.050049
'2015+AC0-10+AC0-02';9553.070312;1951.359985
'2015+AC0-10+AC0-01';9509.25;1923.819946
'2015+AC0-09+AC0-30';9660.44043;1920.030029
'2015+AC0-09+AC0-29';9450.400391;1884.089966
'2015+AC0-09+AC0-28';9483.549805;1881.77002
'2015+AC0-09+AC0-25';9688.530273;1931.339966
'2015+AC0-09+AC0-24';9427.639648;1932.23999
'2015+AC0-09+AC0-23';9612.620117;1938.76001
'2015+AC0-09+AC0-22';9570.660156;1942.73999
'2015+AC0-09+AC0-21';9948.509766;1966.969971
'2015+AC0-09+AC0-18';9916.160156;1958.030029
'2015+AC0-09+AC0-17';10229.58008;1990.199951
'2015+AC0-09+AC0-16';10227.20996;1995.310059
'2015+AC0-09+AC0-15';10188.12988;1978.089966
'2015+AC0-09+AC0-14';10131.74023;1953.030029
'2015+AC0-09+AC0-11';10123.55957;1961.050049
'2015+AC0-09+AC0-10';10210.44043;1952.290039
'2015+AC0-09+AC0-09';10303.12012;1942.040039
'2015+AC0-09+AC0-08';10271.36035;1969.410034
'2015+AC0-09+AC0-07';10108.61035;1921.219971
'2015+AC0-09+AC0-04';10038.04004;1951.130005
'2015+AC0-09+AC0-03';10317.83984;1948.859985
'2015+AC0-09+AC0-02';10048.04981;1913.849976
'2015+AC0-09+AC0-01';10015.57031;1972.180054
'2015+AC0-08+AC0-31';10259.45996;1988.869995
'2015+AC0-08+AC0-28';10298.53027;1987.660034
'2015+AC0-08+AC0-27';10315.62012;1940.51001
'2015+AC0-08+AC0-26';9997.429688;1867.609985
'2015+AC0-08+AC0-25';10128.12012;1893.209961
'2015+AC0-08+AC0-24';9648.429688;1970.890015
'2015+AC0-08+AC0-21';10124.51953;2035.72998
'2015+AC0-08+AC0-20';10432.19043;2079.610107
'2015+AC0-08+AC0-19';10682.15039;2096.919922
'2015+AC0-08+AC0-18';10915.91992;2102.439941
'2015+AC0-08+AC0-17';10940.33008;2091.540039
'2015+AC0-08+AC0-14';10985.13965;2083.389893
'2015+AC0-08+AC0-13';11014.62988;2086.050049
'2015+AC0-08+AC0-12';10924.61035;2084.070068
'2015+AC0-08+AC0-11';11293.65039;2104.179932
'2015+AC0-08+AC0-10';11604.78027;2077.570068
'2015+AC0-08+AC0-07';11490.83008;2083.560059
'2015+AC0-08+AC0-06';11585.09961;2099.840088
'2015+AC0-08+AC0-05';11636.29981;2093.320068
'2015+AC0-08+AC0-04';11456.07031;2098.040039
'2015+AC0-08+AC0-03';11443.71973;2103.840088
'2015+AC0-07+AC0-31';11308.99023;2108.629883
'2015+AC0-07+AC0-30';11257.15039;2108.570068
'2015+AC0-07+AC0-29';11211.84961;2093.25
'2015+AC0-07+AC0-28';11173.91016;2067.639893
'2015+AC0-07+AC0-27';11056.40039;2079.649902
'2015+AC0-07+AC0-24';11347.4502;2102.149902
'2015+AC0-07+AC0-23';11512.11035;2114.149902
'2015+AC0-07+AC0-22';11520.66992;2119.209961
'2015+AC0-07+AC0-21';11604.79981;2128.280029
'2015+AC0-07+AC0-20';11735.71973;2126.639893
'2015+AC0-07+AC0-17';11673.41992;2124.290039
'2015+AC0-07+AC0-16';11716.75977;2107.399902
'2015+AC0-07+AC0-15';11539.66016;2108.949951
'2015+AC0-07+AC0-14';11516.90039;2099.600098
'2015+AC0-07+AC0-13';11484.37988;2076.620117
'2015+AC0-07+AC0-10';11315.62988;2051.310059
'2015+AC0-07+AC0-09';10996.41016;2046.680054
'2015+AC0-07+AC0-08';10747.29981;2081.340088
'2015+AC0-07+AC0-07';10676.78027;2068.76001
'2015+AC0-07+AC0-06';10890.62988;2076.780029
'2015+AC0-07+AC0-03';11058.38965;2077.419922
'2015+AC0-07+AC0-02';11099.34961;2063.110107
'2015+AC0-07+AC0-01';11180.5;2057.639893
'2015+AC0-06+AC0-30';10944.96973;2101.48999
'2015+AC0-06+AC0-29';11083.2002;2102.310059
'2015+AC0-06+AC0-26';11492.42969;2108.580078
'2015+AC0-06+AC0-25';11473.12988;2124.199951
'2015+AC0-06+AC0-24';11471.25977;2122.850098
'2015+AC0-06+AC0-23';11542.54004;2109.98999
'2015+AC0-06+AC0-22';11460.5;2121.23999
'2015+AC0-06+AC0-19';11040.09961;2100.439941
'2015+AC0-06+AC0-18';11100.29981;2096.290039
'2015+AC0-06+AC0-17';10978.00977;2084.429932
'2015+AC0-06+AC0-16';11044.00977;2094.110107
'2015+AC0-06+AC0-15';10984.96973;2108.860107
'2015+AC0-06+AC0-12';11196.49023;2105.199951
'2015+AC0-06+AC0-11';11332.78027;2080.149902
'2015+AC0-06+AC0-10';11265.38965;2079.280029
'2015+AC0-06+AC0-09';11001.29004;2092.830078
'2015+AC0-06+AC0-08';11064.91992;2095.840088
'2015+AC0-06+AC0-05';11197.15039;2114.070068
'2015+AC0-06+AC0-04';11340.59961;2109.600098
'2015+AC0-06+AC0-03';11419.62012;2111.72998
'2015+AC0-06+AC0-02';11328.79981;2107.389893
'2015+AC0-06+AC0-01';11436.04981;2120.790039
'2015+AC0-05+AC0-29';11413.82031;2123.47998
'2015+AC0-05+AC0-28';11677.57031;2104.199951
'2015+AC0-05+AC0-27';11771.12988;2126.060059
'2015+AC0-05+AC0-26';11625.12988;2130.820068
'2015+AC0-05+AC0-22';11815.00977;2125.850098
